Year,Country,Pais_Lat_Long,Sex,Fatal (Y/N),href formula
1957,USA,"39.7837304,-100.445882",M,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1957.04.28-Savino_Collier.pdf
1957,AUSTRALIA,"-24.7761086,134.755",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1957.04.23-Wilson.pdf
1957,USA,"39.7837304,-100.445882",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1957.04.22-Carpenter.pdf
1957,AUSTRALIA,"-24.7761086,134.755",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1957.04.13-Nomoa.pdf
1957,PAPUA NEW GUINEA,"-5.6816069,144.2489081",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1957.04.07.b-Omni.pdf
1957,SOLOMON ISLANDS,"-8.7053941,159.1070693851845",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1957.04.07.a-Sonieva.pdf
1957,FIJI,"-18.1239696,179.0122737",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1957.02.24-Bale.pdf
1957,USA,"39.7837304,-100.445882",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1957.02.05-Carson.pdf
1957,AUSTRALIA,"-24.7761086,134.755",M,NO INF,http://sharkattackfile.net/spreadsheets/pdf_directory/1957.02.02-JapaneseDiver.pdf
1957,USA,"39.7837304,-100.445882",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1957.02.00-Straughan.pdf
1957,SOUTH AFRICA,"-28.8166236,24.991639",M,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1957.01.05-Williams.pdf
1957,SRI LANKA,"7.877395849999999,80.66247852355892",M,NO INF,http://sharkattackfile.net/spreadsheets/pdf_directory/1957.00.00.k-Fernando.pdf
