Year,Country,Pais_Lat_Long,Sex,Fatal (Y/N),href formula
1959,INDIA,"22.3511148,78.6677428",NO INF,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.09.10.R-India.pdf
1959,USA,"39.7837304,-100.445882",M,NO INF,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.09.02-NV-InflatableRaft.pdf
1959,MEXICO,"23.6585116,-102.0077097",F,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.09.00-French-woman.pdf
1959,AZORES,"37.80855645,-25.473137391245295",NO INF,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.08.31.R-Azores.pdf
1959,AUSTRALIA,"-24.7761086,134.755",M,NO INF,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.08.30-Cox.pdf
1959,JAPAN,"36.5748441,139.2394179",M,NO INF,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.08.25-Fukushi.pdf
1959,PHILIPPINES,"12.7503486,122.7312101",M,NO INF,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.08.20-PilarII.pdf
1959,USA,"39.7837304,-100.445882",M,NO INF,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.08.15.b-Seymour.pdf
1959,USA,"39.7837304,-100.445882",M,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.08.15.a-Neal.pdf
1959,USA,"39.7837304,-100.445882",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.08.14.b-Wright.pdf
1959,PHILIPPINES,"12.7503486,122.7312101",NO INF,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.08.14.a-Fishingboat.pdf
1959,USA,"39.7837304,-100.445882",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.08.13-Ide-Turner.pdf
1959,CROATIA,"45.3658443,15.6575209",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.08.12-Tomaz.pdf
1959,JAPAN,"36.5748441,139.2394179",M,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.08.11-Tsuchiya.pdf
1959,USA,"39.7837304,-100.445882",F,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.08.10-Fields.pdf
1959,USA,"39.7837304,-100.445882",M,NO INF,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.08.05-Hill.pdf
1959,ITALY,"42.6384261,12.674297",M,NO INF,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.08.02-Giglio.pdf
1959,USA,"39.7837304,-100.445882",NO INF,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.07.30-Randles_Collier.pdf
1959,USA,"39.7837304,-100.445882",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.07.28-Fleet_Collier.pdf
1959,JAPAN,"36.5748441,139.2394179",M,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.07.25.b-Ishida.pdf
1959,USA,"39.7837304,-100.445882",NO INF,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.07.25.a-Agnew.pdf
1959,USA,"39.7837304,-100.445882",NO INF,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.07.23.b-WoodrowSmith.pdf
